Organisation,Post,Type,Issued,Vacant from,Apply by,Cut-off,Days left,Schedule,Scale,Source,Link
Gujarat Metro Rail Corporation Ltd,Chief General Manager/ General Manager (Civil),advertised,2026-07-27,,2026-08-12,,5,6 posts,,Railway Board - Vacancy Circulars,https://indianrailways.gov.in/railwayboard/uploads/irpersonel/Vacancy_Circular/2026/Recruitment%20notification%20of%20CGM%20GM%20Civil%20dated%202772026.pdf
HASSAN MANGALORE RAIL DEVELOPMENT COMPANY LTD. (HMRDC),CHIEF EXECUTIVE OFFICER,advertised,2026-07-31,,2026-08-20,,13,AS PER ANNEXURE,,Railway Board - Vacancy Circulars,https://indianrailways.gov.in/railwayboard/uploads/irpersonel/Vacancy_Circular/2026/VACANCY%20NOTICE%20NO_%20292026.pdf
RLDA,Chief Project Manager,advertised,2026-06-19,,2026-08-21,,14,,,Railway Board - Vacancy Circulars,https://indianrailways.gov.in/railwayboard/uploads/irpersonel/Vacancy_Circular/2026/V_No_18_2026.pdf
DFCCIL,General Manager (Technical),advertised,2026-07-23,,2026-08-21,,14,IRSE/Officers of Engg. Deptt. Of Indian Railways/Central Govt./CPSU's etc.,,Railway Board - Vacancy Circulars,https://indianrailways.gov.in/railwayboard/uploads/irpersonel/Vacancy_Circular/2026/VN_30_2026_230726.pdf
Indian Railway Catering and Tourism Corporation Limited (IRCTC),Chairman & Managing Director,advertised,2026-08-06,2026-07-20,2026-08-27,3:00PM,20,Schedule A,Rs. 200000 – 370000 (IDA),PESB - Advertised Vacancies,https://pesb.gov.in/Home/AdvertisVacancy
KOCHI METRO RAIL LIMITED,General Manager (Operations & Maintenance),advertised,2026-08-05,,2026-08-27,,20,IRTS/IRSE/IRSSE/IRSEE/IRSME,,Railway Board - Vacancy Circulars,https://indianrailways.gov.in/railwayboard/uploads/irpersonel/Vacancy_Circular/2026/GM(OM)-%20Railway%20Upload.pdf
KERALA RAIL DEVELOPMENT CORPORATION LTD. (KRDCL),MANAGING DIRECTOR,advertised,2026-07-16,,2026-08-30,45 days from issue on 16 Jul 2026,23,AS PER ANNEXURES,,Railway Board - Vacancy Circulars,https://indianrailways.gov.in/railwayboard/uploads/irpersonel/Vacancy_Circular/2026/VACANCY%20NOTICE%20NO_%20262026.pdf
Rail Vikas Nigam Ltd.,GM (Civil) at Bhopal/Indore on deputation basis,advertised,2026-07-02,,2026-08-30,,23,IRSE/Civil Engg. Deptt.,,Railway Board - Vacancy Circulars,https://indianrailways.gov.in/railwayboard/uploads/irpersonel/Vacancy_Circular/2026/38%20CIVIL%20(1).pdf
BHARUCH DAHEJ RAILWAY COMPANY LTD. (BDRCL),MANAGING DIRECTOR,advertised,2026-08-06,,2026-08-31,,24,AS PER ANNEXURE,,Railway Board - Vacancy Circulars,https://indianrailways.gov.in/railwayboard/uploads/irpersonel/Vacancy_Circular/2026/VACANCY%20NOTICE%20NO_%20312026.pdf
Rail Vikas Nigam Ltd.,GM (Civil) at Kolkata on deputation basis,advertised,2026-07-27,,2026-09-24,,48,IRSE / Civil Engg. · 2 posts,,Railway Board - Vacancy Circulars,https://indianrailways.gov.in/railwayboard/uploads/irpersonel/Vacancy_Circular/2026/46%20CIVIL.pdf
